id,x,y
597,85.017,-297.559
598,106.271,-297.559
599,127.525,-297.559
600,148.78,-297.559
601,170.034,-297.559
602,191.288,-297.559
603,212.542,-297.559
604,233.797,-297.559
605,255.051,-297.559
606,276.305,-297.559
607,297.559,-297.559
608,318.814,-297.559
609,340.068,-297.559
610,361.322,-297.559
611,382.576,-297.559
612,403.831,-297.559
613,425.085,-297.559
614,446.339,-297.559
615,467.593,-297.559
616,488.847,-297.559
617,510.102,-297.559
618,531.356,-297.559
619,-552.61,-276.305
620,-531.356,-276.305
621,-510.102,-276.305
622,-488.847,-276.305
623,-467.593,-276.305
624,-446.339,-276.305
625,-425.085,-276.305
626,-403.831,-276.305
627,-382.576,-276.305
628,-361.322,-276.305
629,-340.068,-276.305
630,-318.814,-276.305
631,-297.559,-276.305
632,-276.305,-276.305
633,-255.051,-276.305
634,-233.797,-276.305
635,-212.542,-276.305
636,-191.288,-276.305
637,-170.034,-276.305
638,-148.78,-276.305
639,-127.525,-276.305
640,-106.271,-276.305
641,-85.017,-276.305
642,-63.763,-276.305
643,-42.508,-276.305
644,-21.254,-276.305
645,0,-276.305
646,21.254,-276.305
647,42.508,-276.305
648,63.763,-276.305
649,85.017,-276.305
650,106.271,-276.305
651,127.525,-276.305
652,148.78,-276.305
653,170.034,-276.305
654,191.288,-276.305
655,212.542,-276.305
656,233.797,-276.305
657,255.051,-276.305
658,276.305,-276.305
659,297.559,-276.305
660,318.814,-276.305
661,340.068,-276.305
662,361.322,-276.305
663,382.576,-276.305
664,403.831,-276.305
665,425.085,-276.305
666,446.339,-276.305
667,467.593,-276.305
668,488.847,-276.305
669,510.102,-276.305
670,531.356,-276.305
671,552.61,-276.305
672,-573.864,-255.051
673,-552.61,-255.051
674,-531.356,-255.051
675,-510.102,-255.051
676,-488.847,-255.051
677,-467.593,-255.051
678,-446.339,-255.051
679,-425.085,-255.051
680,-403.831,-255.051
681,-382.576,-255.051
682,-361.322,-255.051
683,-340.068,-255.051
684,-318.814,-255.051
685,-297.559,-255.051
686,-276.305,-255.051
687,-255.051,-255.051
688,-233.797,-255.051
689,-212.542,-255.051
690,-191.288,-255.051
691,-170.034,-255.051
692,-148.78,-255.051
693,-127.525,-255.051
694,-106.271,-255.051
695,-85.017,-255.051
696,-63.763,-255.051
697,-42.508,-255.051
698,-21.254,-255.051
699,0,-255.051
700,21.254,-255.051
701,42.508,-255.051
702,63.763,-255.051
703,85.017,-255.051
704,106.271,-255.051
705,127.525,-255.051
706,148.78,-255.051
707,170.034,-255.051
708,191.288,-255.051
709,212.542,-255.051
710,233.797,-255.051
711,255.051,-255.051
712,276.305,-255.051
713,297.559,-255.051
714,318.814,-255.051
715,340.068,-255.051
716,361.322,-255.051
717,382.576,-255.051
718,403.831,-255.051
719,425.085,-255.051
720,446.339,-255.051
721,467.593,-255.051
722,488.847,-255.051
723,510.102,-255.051
724,531.356,-255.051
725,552.61,-255.051
726,573.864,-255.051
727,-573.864,-233.797
728,-552.61,-233.797
729,-531.356,-233.797
730,-510.102,-233.797
731,-488.847,-233.797
732,-467.593,-233.797
733,-446.339,-233.797
734,-425.085,-233.797
735,-403.831,-233.797
736,-382.576,-233.797
737,-361.322,-233.797
738,-340.068,-233.797
739,-318.814,-233.797
740,-297.559,-233.797
741,-276.305,-233.797
742,-255.051,-233.797
743,-233.797,-233.797
744,-212.542,-233.797
745,-191.288,-233.797
746,-170.034,-233.797
747,-148.78,-233.797
748,-127.525,-233.797
749,-106.271,-233.797
750,-85.017,-233.797
751,-63.763,-233.797
752,-42.508,-233.797
753,-21.254,-233.797
754,0,-233.797
755,21.254,-233.797
756,42.508,-233.797
757,63.763,-233.797
758,85.017,-233.797
759,106.271,-233.797
760,127.525,-233.797
761,148.78,-233.797
762,170.034,-233.797
763,191.288,-233.797
764,212.542,-233.797
765,233.797,-233.797
766,255.051,-233.797
767,276.305,-233.797
768,297.559,-233.797
769,318.814,-233.797
770,340.068,-233.797
771,361.322,-233.797
772,382.576,-233.797
773,403.831,-233.797
774,425.085,-233.797
775,446.339,-233.797
776,467.593,-233.797
777,488.847,-233.797
778,510.102,-233.797
779,531.356,-233.797
780,552.61,-233.797
781,573.864,-233.797
782,-595.119,-212.542
783,-573.864,-212.542
784,-552.61,-212.542
785,-531.356,-212.542
786,-510.102,-212.542
787,-488.847,-212.542
788,-467.593,-212.542
789,-446.339,-212.542
790,-425.085,-212.542
791,-403.831,-212.542
792,-382.576,-212.542
793,-361.322,-212.542
794,-340.068,-212.542
795,-318.814,-212.542
796,-297.559,-212.542
797,-276.305,-212.542
798,-255.051,-212.542
799,-233.797,-212.542
800,-212.542,-212.542
801,-191.288,-212.542
802,-170.034,-212.542
803,-148.78,-212.542
804,-127.525,-212.542
805,-106.271,-212.542
806,-85.017,-212.542
807,-63.763,-212.542
808,-42.508,-212.542
809,-21.254,-212.542
810,0,-212.542
811,21.254,-212.542
812,42.508,-212.542
813,63.763,-212.542
814,85.017,-212.542
815,106.271,-212.542
816,127.525,-212.542
817,148.78,-212.542
818,170.034,-212.542
819,191.288,-212.542
820,212.542,-212.542
821,233.797,-212.542
822,255.051,-212.542
823,276.305,-212.542
824,297.559,-212.542
825,318.814,-212.542
826,340.068,-212.542
827,361.322,-212.542
828,382.576,-212.542
829,403.831,-212.542
830,425.085,-212.542
831,446.339,-212.542
832,467.593,-212.542
833,488.847,-212.542
834,510.102,-212.542
835,531.356,-212.542
836,552.61,-212.542
837,573.864,-212.542
838,595.119,-212.542
839,-595.119,-191.288
840,-573.864,-191.288
841,-552.61,-191.288
842,-531.356,-191.288
843,-510.102,-191.288
844,-488.847,-191.288
845,-467.593,-191.288
846,-446.339,-191.288
847,-425.085,-191.288
848,-403.831,-191.288
849,-382.576,-191.288
850,-361.322,-191.288
851,-340.068,-191.288
852,-318.814,-191.288
853,-297.559,-191.288
854,-276.305,-191.288
855,-255.051,-191.288
856,-233.797,-191.288
857,-212.542,-191.288
858,-191.288,-191.288
859,-170.034,-191.288
860,-148.78,-191.288
861,-127.525,-191.288
862,-106.271,-191.288
863,-85.017,-191.288
864,-63.763,-191.288
865,-42.508,-191.288
866,-21.254,-191.288
867,0,-191.288
868,21.254,-191.288
869,42.508,-191.288
870,63.763,-191.288
871,85.017,-191.288
872,106.271,-191.288
873,127.525,-191.288
874,148.78,-191.288
875,170.034,-191.288
876,191.288,-191.288
877,212.542,-191.288
878,233.797,-191.288
879,255.051,-191.288
880,276.305,-191.288
881,297.559,-191.288
882,318.814,-191.288
883,340.068,-191.288
884,361.322,-191.288
885,382.576,-191.288
886,403.831,-191.288
887,425.085,-191.288
888,446.339,-191.288
889,467.593,-191.288
890,488.847,-191.288
891,510.102,-191.288
892,531.356,-191.288
893,552.61,-191.288
894,573.864,-191.288
895,595.119,-191.288
896,-616.373,-170.034
897,-595.119,-170.034
898,-573.864,-170.034
899,-552.61,-170.034
900,-531.356,-170.034
