crystal_id,C_pi0
481,1.0524275713986904
482,1.0566914545706354
483,1.0713866089694268
484,1.0679846029005609
485,1.0688200239753338
486,1.0880306740346533
487,1.0607364920925908
488,1.0482851041528352
489,1.0591998113340442
490,1.0392457671081743
491,1.0632380406229371
492,1.0672211494640451
493,1.061711190265098
494,1.0315729645413552
495,1.0465320614917502
496,1.0447320512432723
497,1.0467847255686282
498,1.0557808054109956
499,1.0473533698519844
500,1.0378597847882276
501,1.0093493601676953
502,1.0756491246022248
503,1.033452455147677
504,1.0593442092062142
505,1.0624880686250935
506,1.0725767295114048
507,1.0743932837084145
508,1.0525489606845164
509,1.068386613899875
510,1.0484560355313453
511,1.0612120388390454
512,1.0302034663641684
513,1.0960487663241552
514,1.040895630234539
515,1.0821220077992133
516,1.0
517,1.0844592571423168
518,1.1070798195996772
519,1.065427472505139
520,1.0701652848782208
521,1.0860284880057687
522,1.0786355014565991
523,1.0493356064664885
524,1.0720502733279933
525,1.0625505674333682
526,1.0493187547009732
527,1.0807084207908624
528,1.0599023727735297
529,1.0772555154447558
530,1.0476568331536915
531,1.0537961680359025
532,1.0618751608848236
533,1.0667245693055967
534,1.056739513521984
535,1.0630144107416135
536,1.029149630848672
537,1.0827318772015604
538,1.0620078199489662
539,1.0346797941531756
540,1.0626236446368678
541,1.0548128982755482
542,1.0538782872589278
543,1.039728694730086
544,1.078471148234459
545,1.0577179396052125
546,1.0500625119396059
547,1.038964961222596
548,1.0713461979991914
549,1.0550445665748622
550,1.0557643386012339
551,1.0559036116803917
552,1.0835531743025189
553,1.0605504393421243
554,1.045811712564735
555,1.0760135451617712
556,1.064234995098456
557,1.0695967005229123
558,1.054558524143958
559,1.0345531438669002
560,1.0482248380205734
561,1.053357833909261
562,1.0695405644962974
563,1.0489904712746794
564,1.0557266550927777
565,1.0830323311822982
566,1.0
567,1.0
568,1.0809459977954434
569,1.0963110386662624
570,1.0735917064801703
571,1.0865144161434546
572,1.092646150419351
573,1.065240069240948
574,1.0446167854080968
575,1.055760016525148
576,1.0389999487101071
577,1.0482811180886038
578,1.045758930835379
579,1.0488933261109588
580,1.03182698043258
581,1.0762709923992986
582,1.0719822236003211
583,1.0358608710695185
584,1.0196235201753914
585,1.0457767800756779
586,1.0642087565245186
587,1.0607255278687966
588,1.0556095890098205
589,1.0458160006772683
590,1.0420942944025795
591,1.0654769729506344
592,1.0515922357979284
593,1.053154182239333
594,1.062498706549992
595,1.0533043065077627
596,1.0457053086127086
597,1.0544247616394504
598,1.033826199501822
599,1.048588837752374
600,1.0508367470662723
601,1.055108256911554
602,1.0524596609883705
603,1.067030355668986
604,1.052512652580976
605,1.0288550368528078
606,1.0588178818274174
607,1.055951701070629
608,1.0401252576426214
609,1.093290748570137
610,1.0529327240543707
611,1.0364600272821825
612,1.0224380868834024
613,1.104840799353458
614,1.0308686105567775
615,1.0550057441972645
616,1.0595530172140555
617,1.0501311197533234
618,1.1351207095499434
619,1.0
620,1.0
621,1.0511780248245015
622,1.0346606086745174
623,1.0815198972980344
624,1.0583692103433042
625,1.0749585722916586
626,1.0826984505082746
627,1.0950126422289606
628,1.0680921666352203
629,1.069303449377414
630,1.0541175238947764
631,1.037406696063619
632,1.0719479048189833
633,1.0575999687422042
634,1.0577746062021707
635,1.068507493481654
636,1.0665022869491367
637,1.0674010178129512
638,1.0385416757722437
639,1.0544951054548701
640,1.0319881344567001
641,1.0431627382583921
642,1.0729459200745988
643,1.0318780282453721
644,1.0375810781401427
645,1.063279997434196
646,1.0739192987502373
647,1.0430543234573415
648,1.0512482083654442
649,1.0486402156692312
650,1.0440586377538197
651,1.0625760693977726
652,1.0454871837367024
653,1.0509791296798512
654,1.0445074535634773
655,1.06972568879836
656,1.0391351907260908
657,1.0543043078067842
658,1.056905707157571
659,1.0645418238745987
660,1.0529710467510183
661,1.0714977218186015
662,1.0570433555380288
663,1.031278232441258
664,1.0295353408661503
665,1.0931674500120085
666,1.0702658854034623
667,1.0582965594217735
668,1.075931119247591
669,1.0762828639174882
670,1.134033942268697
671,1.0
672,1.0
673,1.1043794862225014
674,1.058239197362555
675,1.0573602827845032
676,1.0628243799817878
677,1.0660390007620426
678,1.055752725316234
679,1.0345221715298796
680,1.0531938325272863
681,1.0858704613501056
682,1.066312761245387
683,1.069945352098292
684,1.066565094046767
685,1.0571666650179012
686,1.044196707606009
687,1.0739309549498885
688,1.0529480840392098
689,1.0396467144516313
690,1.0535486635345328
691,1.0634899495937709
692,1.068234493650685
693,1.040829617564408
694,1.05207212372057
695,1.0760365820979128
696,1.0501193541203717
697,1.0459218345887904
698,1.0560312221120376
699,1.0419025682073795
700,1.0540734670756995
701,1.0604369747707407
702,1.0350216968249193
703,1.0572256037453656
704,1.0690507797666653
705,1.0601035532922618
706,1.0493779323149957
707,1.0455048290676656
708,1.0608411994720663
709,1.0493212328264763
710,1.066490525518762
711,1.0303352105186976
712,1.050624242617634
713,1.0530667708617862
714,1.0358970559910068
715,1.0619236689745128
716,1.050356278237248
717,1.062751012036078
718,1.0813067279678683
719,1.0502682981774647
720,1.0548525595277902
721,1.048742096710593
722,1.064192685288511
723,1.0385516144159448
724,1.046658424016285
725,1.0466833557729371
726,1.0
727,1.0
728,1.0711720431373009
729,1.0540216826253836
730,1.0504765901640225
731,1.0730148446762338
732,1.0879704009916966
733,1.027643745373244
734,1.068200449098849
735,1.0618258105824143
736,1.047606243569597
737,1.0570361834124111
738,1.029180220319846
739,1.0648910448367268
740,1.057597230511339
741,1.0314427625741782
742,1.054901971187731
743,1.029470579533408
744,1.0774397395317583
745,1.0485646474554275
746,1.0370388936232324
747,1.0442569733401426
748,1.0646186959047592
749,1.0528936284661659
750,1.0508498842749217
751,1.0452826617924444
752,1.047619459553577
753,1.0765969661596781
754,1.0304930100126422
755,1.047882520253952
756,1.0487495745165307
757,1.0586852830155706
758,1.034698033152234
759,1.0335219799467255
760,1.040964767320546
761,1.046356111880609
762,1.0486107319210431
763,1.0554941570583023
764,1.0526706627306641
765,1.0425650875030326
766,1.0633411980862337
767,1.0867305049765976
768,1.0914871903648353
769,1.068690695161621
770,1.0615656666374482
771,1.061367421140259
772,1.0524708604640611
773,1.0492155308462061
774,1.0629243216290698
775,1.1086254442748786
776,1.0737231971274444
777,1.052189781306329
778,1.0541974686857931
779,1.0417297560879328
780,1.0875647906960333
781,1.0
782,1.0
783,1.0698314886092155
784,1.0586845689619087
785,1.0565235549366752
786,1.0701892127311448
787,1.0540350227462278
788,1.0696155374459821
789,1.0417812171517167
790,1.0573591387039674
791,1.0610899431159606
792,1.0645398689726409
793,1.035992970011123
794,1.0745509982044397
795,1.0580496941766107
